Messung;N;te [s];ta [s];f[Hz];sigma(f) [Hz];sigma(t) [s];m/P(*A^2);sigma(m/P(*A^2));V [m^3];sigma(V) [m^3];Kappa
1;4;3.61;0.13;1.149425287;0.018686668;0.02;4.0156;0.0246;0.011635;0.0000051;2.435982657
2;4;3.637;0.138;1.143183767;0.018191817;0.02;4.0156;0.0246;0.011635;0.0000051;2.409599115
3;5;4.816;0.123;1.065416578;0.010053501;0.02;4.0156;0.0246;0.011635;0.0000051;2.092915034
4;4;3.614;0.138;1.150747986;0.018646069;0.02;4.0156;0.0246;0.011635;0.0000051;2.441592287
1;7;7.143;0.191;1.006904488;0.005258463;0.02;4.0156;0.0246;0.011555;0.00000388;1.856490848
2;7;7.136;0.191;1.007919366;0.005272227;0.02;4.0156;0.0246;0.011555;0.00000388;1.86023512
3;7;7.143;0.183;1.005747126;0.00525648;0.02;4.0156;0.0246;0.011555;0.00000388;1.852225506
4;7;7.189;0.191;1.000285796;0.005169424;0.02;4.0156;0.0246;0.011555;0.00000388;1.832164497
1;7;7.113;0.183;1.01010101;0.005315825;0.02;4.0156;0.0246;0.011474;0.000002682;1.85520013
2;7;7.128;0.191;1.009081736;0.005288028;0.02;4.0156;0.0246;0.011474;0.000002682;1.851457922
3;7;7.128;0.176;1.006904488;0.005284267;0.02;4.0156;0.0246;0.011474;0.000002682;1.843476936
4;7;7.128;0.183;1.007919366;0.005286019;0.02;4.0156;0.0246;0.011474;0.000002682;1.847194961
1;16;3.599;0.168;4.663363451;0.599206243;0.03;4.0156;0.0246;0.000351;0.000005099;1.209628346
2;12;2.67;0.176;4.811547715;0.111009971;0.03;4.0156;0.0246;0.000351;0.000005099;1.287724682
3;13;2.933;0.172;4.708438971;0.174971819;0.03;4.0156;0.0246;0.000351;0.000005099;1.23312561
4;12;2.667;0.174;4.813477738;0.007366708;0.002;4.0156;0.0246;0.000351;0.000005099;1.288757962
1;10;3.719;0.295;2.920560748;0.04436712;0.002;4.0156;0.0246;0.00027;0.00000387;0.364957726
2;13;4.886;0.293;2.830394078;0.008701791;0.002;4.0156;0.0246;0.00027;0.00000387;0.342770855
3;13;5;0.081;2.849002849;0.011411975;0.002;4.0156;0.0246;0.00027;0.00000387;0.347292849
4;13;4.884;0.294;2.832244009;0.008734477;0.002;4.0156;0.0246;0.00027;0.00000387;0.343219068
1;12;2.568;0.167;4.997917534;0.00574835;0.002;4.0156;0.0246;0.00019;0.000002681;0.752104319
2;11;2.349;0.169;5.04587156;0.004277767;0.002;4.0156;0.0246;0.00019;0.000002681;0.766606141
3;10;2.129;0.168;5.099439062;0.003205558;0.002;4.0156;0.0246;0.00019;0.000002681;0.782969281
4;11;2.347;0.168;5.048187242;0.004264109;0.002;4.0156;0.0246;0.00019;0.000002681;0.767309933
1;9;1.965;0.174;5.025125628;0.002718373;0.002;4.0156;0.0246;0.001391793;0.000005107;5.569480865
2;11;2.403;0.171;4.928315412;0.004878726;0.002;4.0156;0.0246;0.001391793;0.000005107;5.356953281
3;8;1.75;0.181;5.098789038;0.002017713;0.002;4.0156;0.0246;0.001391793;0.000005107;5.733963919
4;8;1.75;0.173;5.072923272;0.002049247;0.002;4.0156;0.0246;0.001391793;0.000005107;5.675935562
1;16;5.933;0.291;2.835873804;0.004717883;0.002;4.0156;0.0246;0.001311368;0.000003883;1.671262524
2;10;3.69;0.292;2.942907593;0.050675302;0.002;4.0156;0.0246;0.001311368;0.000003883;1.799799488
3;11;4.045;0.289;2.928647497;0.024965196;0.002;4.0156;0.0246;0.001311368;0.000003883;1.7823996
4;10;3.472;0.077;2.9455081;0.102037922;0.002;4.0156;0.0246;0.001311368;0.000003883;1.802981688
1;13;4.766;0.285;2.901138139;0.010572922;0.002;4.0156;0.0246;0.001230943;0.000002689;1.641803323
2;12;4.391;0.288;2.924689252;0.015786077;0.002;4.0156;0.0246;0.001230943;0.000002689;1.668567467
3;12;4.385;0.287;2.928257687;0.015994135;0.002;4.0156;0.0246;0.001230943;0.000002689;1.672641614
4;10;3.652;0.291;2.975304969;0.061767357;0.002;4.0156;0.0246;0.001230943;0.000002689;1.726820869
